City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,west island,-12.1568,96.8225,298.14,78,75,8.23,CC,1690225450
1,canutama,-6.5339,-64.3831,309.41,23,75,1.43,BR,1690225450
2,atafu village,-8.5421,-172.5159,302.13,70,17,7.77,TK,1690225450
3,hawaiian paradise park,19.5933,-154.9731,299.88,88,100,2.57,US,1690225451
4,puerto natales,-51.7236,-72.4875,269.94,76,100,0.73,CL,1690225347
5,grytviken,-54.2811,-36.5092,267.17,76,18,4.69,GS,1690225452
6,jamestown,42.097,-79.2353,301.22,58,0,5.14,US,1690225206
7,xinzhi,36.4989,111.7047,300.25,50,5,1.47,CN,1690225452
8,lihue,21.9789,-159.3672,298.96,81,18,3.9,US,1690225224
9,albany,42.6001,-73.9662,299.61,64,71,2.78,US,1690225002
10,sabang,5.8933,95.3214,301.56,74,100,9.66,ID,1690225453
11,talnakh,69.4865,88.3972,286.6,72,90,0.82,RU,1690225453
12,port mathurin,-19.6833,63.4167,296.37,77,79,8.44,MU,1690225271
13,hami,42.8,93.45,300.99,22,0,4.13,CN,1690225453
14,port-aux-francais,-49.35,70.2167,276.95,70,100,11.01,TF,1690225453
15,thompson,55.7435,-97.8558,298.24,38,20,4.12,CA,1690225453
16,bredasdorp,-34.5322,20.0403,281.16,73,0,2.37,ZA,1690225453
17,afaahiti,-17.75,-149.2833,299.08,85,6,9.12,PF,1690225010
18,qaqortoq,60.7167,-46.0333,280.29,87,81,3.34,GL,1690225454
19,codrington,-38.2667,141.9667,284.84,68,100,1.72,AU,1690224888
20,waitangi,-43.9535,-176.5597,285.27,98,100,3.13,NZ,1690225454
21,golfito,8.639,-83.166,303.47,72,100,2.32,CR,1690225455
22,pisco,-13.7,-76.2167,295.18,64,0,3.6,PE,1690224824
23,rikaze,29.25,88.8833,284.65,71,99,1.18,CN,1690224941
24,minas de marcona,-15.2119,-75.1103,291.05,57,0,6.05,PE,1690225455
25,iqaluit,63.7506,-68.5145,281.0,75,75,4.63,CA,1690224893
26,olonkinbyen,70.9221,-8.7187,278.09,92,100,5.84,SJ,1690224867
27,kudahuvadhoo,2.6708,72.8944,301.4,79,47,5.0,MV,1690225051
28,nizhnyaya omka,55.4338,74.9426,287.84,95,14,3.19,RU,1690225455
29,avarua,-21.2078,-159.775,295.18,94,100,1.54,CK,1690224920
30,ain sefra,32.75,-0.5833,308.5,11,27,2.79,DZ,1690225456
31,colonia,50.9333,6.95,291.46,86,40,5.66,DE,1690224876
32,george town,5.4112,100.3354,300.38,86,20,1.03,MY,1690225241
33,quatre cocos,-20.2078,57.7625,296.21,82,19,3.46,MU,1690225456
34,nar'yan-mar,67.6713,53.087,289.63,73,100,2.64,RU,1690225456
35,sahar,24.3643,56.7468,304.73,77,100,6.4,OM,1690225456
36,blackmans bay,-43.0167,147.3167,280.22,84,91,2.18,AU,1690225457
37,chonchi,-42.6128,-73.8092,280.44,95,100,4.21,CL,1690224911
38,kittila,67.6647,24.8936,284.23,87,100,2.57,FI,1690225457
39,conde,-7.2597,-34.9075,299.85,74,20,6.69,BR,1690225457
40,labuan,5.2767,115.2417,299.35,88,20,0.51,MY,1690225457
41,inawashiro,37.5667,140.1167,292.85,87,53,0.87,JP,1690225458
42,ribeira grande,38.5167,-28.7,296.36,88,75,4.02,PT,1690225458
43,tukrah,32.5341,20.5791,302.56,67,0,3.19,LY,1690225458
44,bilibino,68.0546,166.4372,282.99,92,100,0.51,RU,1690224861
45,stanley,54.868,-1.6985,286.36,77,75,1.03,GB,1690224927
46,al ghayzah,16.2079,52.176,299.87,85,100,5.21,YE,1690225459
47,port alfred,-33.5906,26.891,285.74,67,0,4.62,ZA,1690225459
48,klaksvik,62.2266,-6.589,281.66,86,99,5.46,FO,1690224898
49,utrik,11.2278,169.8474,301.39,76,80,7.34,MH,1690224927
50,cole harbour,44.6724,-63.4751,303.25,61,75,4.12,CA,1690225459
51,cabo san lucas,22.8909,-109.9124,307.38,70,24,3.66,MX,1690225329
52,yellowknife,62.456,-114.3525,295.44,49,100,2.57,CA,1690225206
53,happy valley-goose bay,53.3168,-60.3315,295.32,78,75,2.57,CA,1690225459
54,kingston,17.997,-76.7936,308.28,61,20,10.29,JM,1690225415
55,vorgashor,67.5833,63.95,289.81,71,100,1.71,RU,1690224896
56,sidi khaled,34.387,4.9879,312.18,7,0,5.59,DZ,1690225460
57,island harbour,50.724,-1.2758,289.81,88,95,1.34,GB,1690225460
58,kharp,66.8014,65.8081,292.75,59,100,1.15,RU,1690225460
59,kukawa,12.9234,13.5606,303.99,51,3,1.52,NG,1690225460
60,isafjordur,66.0755,-23.124,285.17,87,100,0.0,IS,1690224934
61,geraldton,-28.7667,114.6,283.38,66,0,6.69,AU,1690224987
62,el rama,12.1596,-84.2195,300.47,83,100,3.9,NI,1690225461
63,misratah,32.3754,15.0925,304.13,58,0,4.44,LY,1690225461
64,knyaze-volkonskoye,48.4642,135.4567,294.34,97,71,2.96,RU,1690225461
65,bethel,41.3712,-73.414,303.53,54,20,6.17,US,1690224660
66,alofi,-19.0595,-169.9187,295.09,73,75,3.09,NU,1690224873
67,chibougamau,49.9168,-74.3659,289.94,82,100,3.53,CA,1690225348
68,sao jose,-28.2333,-49.1667,298.41,62,58,0.89,BR,1690225313
69,margaret river,-33.95,115.0667,289.66,78,10,8.56,AU,1690225462
70,longyearbyen,78.2186,15.6401,286.06,67,75,7.2,SJ,1690224863
71,weissenburg in bayern,49.0309,10.9722,292.86,94,21,3.21,DE,1690225462
72,porbandar,21.6422,69.6093,300.66,88,54,8.05,IN,1690225149
73,tupiza,-21.45,-65.7167,295.61,4,0,4.22,BO,1690225463
74,cessnock,-32.8333,151.35,285.42,95,86,0.82,AU,1690225463
75,invercargill,-46.4,168.35,280.17,88,100,3.96,NZ,1690224928
76,carloforte,39.145,8.3058,304.37,47,2,1.59,IT,1690225464
77,la libertad,-2.2333,-80.9,300.96,74,0,7.72,EC,1690225464
78,papatowai,-46.5619,169.4708,279.71,88,61,3.21,NZ,1690224882
79,bengkulu,-3.8004,102.2655,296.73,86,20,1.84,ID,1690225399
80,anadyr,64.75,177.4833,284.43,87,75,6.71,RU,1690224918
81,badger,64.8,-147.5333,299.33,63,75,1.54,US,1690224899
82,urumqi,43.801,87.6005,299.68,28,0,3.0,CN,1690225465
83,collecchio,44.754,10.2184,300.68,75,1,1.49,IT,1690225466
84,iskateley,67.6803,53.1512,289.58,73,100,2.67,RU,1690224924
85,greymouth,-42.4667,171.2,278.92,89,65,1.69,NZ,1690225090
86,howard springs,-12.497,131.047,290.1,46,7,3.54,AU,1690225466
87,puerto ayora,-0.7393,-90.3518,302.13,78,84,5.29,EC,1690225467
88,port elizabeth,-33.918,25.5701,283.31,81,0,2.57,ZA,1690225467
89,ilulissat,69.2167,-51.1,278.05,85,96,1.96,GL,1690225016
90,la passe,45.5549,-0.8967,294.28,75,89,7.41,FR,1690225467
91,necochea,-38.5473,-58.7368,281.87,58,75,4.29,AR,1690225070
92,peace river,56.2501,-117.286,290.32,94,100,3.09,CA,1690225468
93,nuku'alofa,-21.1333,-175.2,289.34,94,20,1.03,TO,1690225468
94,dwarka,22.2394,68.9678,301.04,85,81,8.34,IN,1690225468
95,ushuaia,-54.8,-68.3,272.96,74,0,2.06,AR,1690225297
96,guerrero negro,27.9769,-114.0611,298.89,51,99,6.28,MX,1690225469
97,kapa'a,22.0752,-159.319,301.33,81,100,7.2,US,1690225399
98,hammerfest,70.6634,23.6821,284.4,87,40,3.09,NO,1690224897
99,aras-asan,8.8908,126.3033,299.52,80,100,5.24,PH,1690225469
100,deir ez-zor,35.3359,40.1408,309.59,14,0,8.12,SY,1690225470
101,tolanaro,-25.0319,46.9987,293.19,94,20,2.06,MG,1690224916
102,adamstown,-25.066,-130.1015,293.11,68,29,4.21,PN,1690225470
103,naze,28.3667,129.4833,299.66,83,100,5.95,JP,1690225471
104,san rafael,-34.6177,-68.3301,284.12,40,2,2.12,AR,1690225471
105,sinabang,2.4803,96.3801,299.7,79,14,0.82,ID,1690225132
106,punta arenas,-53.15,-70.9167,271.35,82,100,2.2,CL,1690225223
107,aykhal,66.0,111.5,286.08,91,97,3.03,RU,1690225471
108,opuwo,-18.0607,13.84,294.02,27,5,1.92,NA,1690225472
109,port lincoln,-34.7333,135.8667,286.32,71,88,4.21,AU,1690225472
110,lebu,-37.6167,-73.65,283.92,85,100,8.36,CL,1690224924
111,brookings,44.3114,-96.7984,304.51,48,0,5.14,US,1690225058
112,brzesko,49.9691,20.6061,295.7,71,60,1.34,PL,1690225472
113,tofol,5.3248,163.0078,301.62,74,99,5.08,FM,1690224922
114,roosevelt,33.9668,-103.4505,310.87,15,1,4.47,US,1690225473
115,udachny,66.4167,112.4,287.29,81,34,2.68,RU,1690224976
116,el bayadh,33.6832,1.0193,305.76,11,46,6.74,DZ,1690225473
117,plainview,40.7765,-73.4673,304.27,61,0,5.14,US,1690225473
118,alice springs,-23.7,133.8833,277.9,81,0,0.0,AU,1690225354
119,whitehorse,60.7161,-135.0538,288.72,77,75,4.63,CA,1690224676
120,polyarnyy,69.1989,33.4478,282.58,96,100,5.85,RU,1690225474
121,noumea,-22.2763,166.4572,293.15,99,100,2.22,NC,1690225263
122,strezhevoy,60.7333,77.5889,291.53,80,100,1.52,RU,1690225474
123,bereket,39.2446,55.5154,307.86,15,0,5.06,TM,1690225474
124,wailua homesteads,22.0669,-159.378,300.59,81,100,7.2,US,1690225474
125,labytnangi,66.6572,66.4183,292.99,60,100,2.27,RU,1690225475
126,san patricio,28.017,-97.5169,310.46,38,11,6.69,US,1690225475
127,hasaki,35.7333,140.8333,296.65,89,73,3.65,JP,1690225475
128,sao felix do xingu,-6.6447,-51.995,308.07,22,6,2.08,BR,1690225475
129,dali,25.7,100.1833,290.38,95,100,1.89,CN,1690225475
130,akdepe,42.0551,59.3788,305.2,18,10,1.06,TM,1690225476
131,hovd,48.0056,91.6419,290.2,46,7,0.03,MN,1690225180
132,mazagao,-0.115,-51.2894,306.18,41,22,1.65,BR,1690225399
133,herning,56.1393,8.9738,288.21,88,75,4.12,DK,1690225476
134,kruisfontein,-34.0033,24.7314,280.86,75,0,3.04,ZA,1690225184
135,susuman,62.7833,148.1667,285.41,70,23,1.37,RU,1690225019
136,shakhtersk,48.0625,38.5167,291.59,59,16,3.46,UA,1690225476
137,hamilton,39.1834,-84.5333,304.81,61,0,5.66,US,1690224961
138,taroa,8.7058,171.2275,301.64,74,99,8.61,MH,1690225476
139,kerikeri,-35.2268,173.9474,280.88,94,19,2.25,NZ,1690225476
140,tres arroyos,-38.3739,-60.2798,282.97,49,98,3.41,AR,1690225477
141,hadibu,12.65,54.0333,298.35,80,36,9.15,YE,1690224963
142,byron bay,-28.65,153.6167,282.99,64,69,5.2,AU,1690225443
143,haiku-pauwela,20.9219,-156.3051,300.47,69,20,7.72,US,1690224880
144,hermanus,-34.4187,19.2345,284.22,66,0,2.68,ZA,1690225477
145,dunedin,-45.8742,170.5036,279.15,96,47,2.67,NZ,1690225477
146,mstera,56.3789,41.92,286.96,96,89,3.36,RU,1690225477
147,panama city beach,30.1766,-85.8055,305.22,74,100,4.63,US,1690225400
148,thomson,33.4707,-82.5046,304.72,63,40,1.54,US,1690225286
149,segezha,63.7415,34.3222,283.53,97,100,1.82,RU,1690225478
150,zhezqazghan,47.7833,67.7667,300.9,20,99,5.95,KZ,1690225478
151,beberibe,-4.1797,-38.1306,300.94,68,55,5.96,BR,1690225478
152,edinburgh of the seven seas,-37.0676,-12.3116,288.17,75,86,16.4,SH,1690225478
153,tazovsky,67.4667,78.7,287.71,92,83,2.72,RU,1690225478
154,weno,7.4515,151.8468,301.39,77,100,7.83,FM,1690225479
155,vail,32.0479,-110.712,313.39,19,46,0.45,US,1690225220
156,sault ste. marie,46.5168,-84.3333,297.31,72,0,5.66,CA,1690225295
157,vilyuchinsk,52.9306,158.4028,285.3,89,17,4.45,RU,1690224937
158,saipan,15.1355,145.701,300.54,100,20,3.6,MP,1690225024
159,santa cruz de yojoa,14.9833,-87.9,307.19,31,8,2.11,HN,1690225479
160,la malbaie,47.6575,-70.1559,300.62,39,6,3.28,CA,1690225247
161,vadso,70.0744,29.7487,282.64,100,100,6.69,NO,1690224895
162,ad dilam,23.9915,47.1627,312.38,8,100,3.04,SA,1690225480
163,villa gesell,-37.2639,-56.973,282.07,65,88,4.45,AR,1690225480
164,odessa,46.4775,30.7326,296.7,71,0,5.86,UA,1690225390
165,ponoka,52.6768,-113.5815,298.09,66,0,3.77,CA,1690225480
166,katsuren-haebaru,26.3369,127.8719,302.58,85,20,5.14,JP,1690224955
167,wynyard,-41.0,145.7167,281.23,84,86,2.47,AU,1690225480
168,badvel,14.75,79.05,297.97,87,100,9.7,IN,1690225481
169,ulsteinvik,62.3432,5.8487,287.77,87,100,5.81,NO,1690224934
170,college,64.8569,-147.8028,299.37,64,40,1.54,US,1690224932
171,san antonio de pale,-1.4014,5.6325,295.86,85,100,4.79,GQ,1690225481
172,rossosh',51.1209,38.5116,290.09,71,47,2.15,RU,1690225481
173,touros,-5.1989,-35.4608,299.17,79,6,11.41,BR,1690225256
174,queenstown,-31.8976,26.8753,278.76,48,0,0.75,ZA,1690225481
175,east london,-33.0153,27.9116,284.67,71,0,2.06,ZA,1690225482
176,sarbogard,46.8869,18.6204,300.55,47,100,3.6,HU,1690225487
177,luderitz,-26.6481,15.1594,287.37,63,100,5.54,NA,1690224998
178,kodiak,57.79,-152.4072,285.88,76,100,4.63,US,1690224977
179,argo,37.6333,22.7333,304.14,54,0,0.76,GR,1690225183
180,salekhard,66.53,66.6019,293.07,59,100,2.35,RU,1690225197
181,kenai,60.5544,-151.2583,288.23,86,100,5.14,US,1690225489
182,saint-philippe,-21.3585,55.7679,293.92,84,38,3.29,RE,1690225490
183,princeville,45.7668,-61.2985,302.95,63,0,5.66,CA,1690225143
184,al majaridah,19.1236,41.9111,307.94,25,100,0.95,SA,1690225490
185,hailar,49.2,119.7,289.32,75,65,1.73,CN,1690225491
186,floro,61.5996,5.0328,289.19,82,100,1.03,NO,1690225491
187,remire-montjoly,4.9167,-52.2667,303.17,70,20,1.03,GF,1690225015
188,ratnapura,6.6828,80.3992,297.05,95,100,0.95,LK,1690225492
189,tura,25.5198,90.2201,297.01,95,100,2.17,IN,1690225492
190,lycksele,64.5954,18.6735,289.08,82,100,2.06,SE,1690225492
191,tiksi,71.6872,128.8694,276.72,83,20,1.86,RU,1690225492
192,hithadhoo,-0.6,73.0833,301.53,78,100,6.85,MV,1690225027
193,vezirkopru,41.1436,35.4547,294.42,88,8,1.65,TR,1690225493
194,roma,43.2128,-75.4557,300.42,69,81,2.46,US,1690225323
195,xiaoshi,41.2971,124.1209,293.6,98,52,1.91,CN,1690225493
196,kristiansund,63.1115,7.732,289.18,72,75,6.17,NO,1690225493
197,sur,22.5667,59.5289,302.47,72,100,0.3,OM,1690225494
198,promissao,-21.5367,-49.8581,303.24,23,0,0.34,BR,1690225494
199,pangai,-19.8,-174.35,292.21,82,20,1.03,TO,1690225494
200,volodarskiy,46.4013,48.5409,296.12,65,100,3.34,RU,1690225494
201,ta`u,-14.2336,-169.5144,299.17,72,89,5.37,AS,1690225062
202,crane,31.3974,-102.3501,310.8,16,0,5.62,US,1690225081
203,jabor,5.921,169.6434,301.27,80,99,5.98,MH,1690225494
204,christchurch,-43.5333,172.6333,278.66,94,100,0.89,NZ,1690225384
205,bereznik,62.8551,42.7072,286.37,93,99,1.16,RU,1690225495
206,ishigaki,24.3448,124.1572,302.22,84,75,7.2,JP,1690225495
207,qui nhon,13.7667,109.2333,298.59,88,100,1.56,VN,1690225495
208,lae,-6.7221,146.9847,297.27,92,100,0.53,PG,1690225495
209,palu,-0.8917,119.8707,297.24,96,31,0.78,ID,1690225495
210,sake,-1.5736,29.045,293.12,72,98,0.28,CD,1690225496
211,north bend,43.4065,-124.2243,299.22,68,0,4.63,US,1690225496
212,ak'ordat,15.5486,37.8867,307.07,37,87,3.4,ER,1690225496
213,betio village,1.358,172.9211,298.17,77,22,4.57,KI,1690225496
214,coahuayana de hidalgo,18.7,-103.6583,304.83,60,100,2.34,MX,1690225496
215,chhor,25.5167,69.7667,303.59,74,100,6.43,PK,1690225496
216,carutapera,-1.195,-46.02,301.31,76,8,3.41,BR,1690225199
217,birjand,32.8663,59.2211,300.41,12,0,2.06,IR,1690225497
218,gadzhiyevo,69.2551,33.3362,282.44,97,100,6.03,RU,1690224941
219,weimar,50.9833,11.3167,292.14,90,4,0.89,DE,1690225283
220,tralee,52.2704,-9.7026,286.95,81,100,3.47,IE,1690225497
221,le vauclin,14.5452,-60.8388,302.18,79,75,8.75,MQ,1690225497
222,huilong,31.8111,121.655,300.89,91,1,5.96,CN,1690225497
223,sultanah,24.4926,39.5857,311.4,11,0,3.6,SA,1690225498
224,martapura,-3.4167,114.85,296.2,100,92,0.51,ID,1690225498
225,st. john's,47.5649,-52.7093,298.3,83,75,8.23,CA,1690225243
226,karratha,-20.7377,116.8463,289.11,54,0,6.17,AU,1690224914
227,callao,-12.0667,-77.15,297.31,53,20,5.66,PE,1690225498
228,georgetown,5.4112,100.3354,300.38,86,20,1.03,MY,1690225241
229,evergreen,39.6333,-105.3172,307.13,25,62,2.24,US,1690225047
230,humaita,-7.5061,-63.0208,310.16,22,8,1.48,BR,1690225499
231,sao gabriel da cachoeira,-0.1303,-67.0892,302.04,89,75,2.57,BR,1690225499
232,puerto madryn,-42.7692,-65.0385,281.27,57,100,10.73,AR,1690225262
233,kidal,18.4411,1.4078,311.34,23,78,2.69,ML,1690225499
234,kulhudhuffushi,6.6221,73.07,300.97,81,83,5.13,MV,1690225499
235,quellon,-43.1167,-73.6167,282.29,87,100,11.32,CL,1690225499
236,bamboo flat,11.7,92.7167,298.2,94,100,1.54,IN,1690225500
237,kimbe,-5.5502,150.1429,298.92,80,100,4.68,PG,1690225500
238,corn island,12.1694,-83.0418,301.22,81,100,9.05,NI,1690225500
239,zuyevka,58.405,51.1335,286.19,94,2,2.12,RU,1690225500
240,belmonte,-15.8631,-38.8828,297.26,70,0,5.01,BR,1690225501
241,choibalsan,48.0667,114.5,287.93,85,100,1.84,MN,1690225501
242,olyokminsk,60.3736,120.4264,292.11,77,5,1.18,RU,1690225502
243,ust-nera,64.5667,143.2,289.04,63,92,3.15,RU,1690225060
244,arno,60.1167,18.6333,288.68,75,47,4.66,SE,1690225502
245,howrah,22.5892,88.3103,301.15,89,20,2.06,IN,1690225080
246,qamdo,31.1667,97.2333,279.08,92,100,1.75,CN,1690225052
247,suva,-18.1416,178.4415,293.86,94,75,2.06,FJ,1690225066
248,baiyin,36.5583,104.2081,297.07,45,34,1.25,CN,1690225503
249,stepnoye,51.4,46.8667,294.32,65,100,2.36,RU,1690225510
250,bodo,67.28,14.405,289.14,85,75,2.06,NO,1690225511
251,enewetak,11.3474,162.3373,301.63,76,58,6.86,MH,1690225511
252,punta del este,-34.9667,-54.95,283.21,89,100,0.45,UY,1690225511
253,boca chica,18.4537,-69.6111,307.21,49,40,3.09,DO,1690225512
254,labrador city,52.9463,-66.9114,298.1,36,40,4.63,CA,1690225512
255,inirida,3.8653,-67.9239,301.91,77,75,0.37,CO,1690225058
256,nyurba,63.2842,118.3319,291.84,84,83,3.44,RU,1690225513
257,petropavlovsk-kamchatsky,53.0452,158.6483,284.48,94,0,2.0,RU,1690224979
258,adrar,20.5022,-10.0711,312.98,16,34,4.2,MR,1690225348
259,aasiaat,68.7098,-52.8699,276.96,95,99,2.65,GL,1690225012
260,pearsall,28.8922,-99.095,312.8,27,2,4.52,US,1690225486
261,makokou,0.5738,12.8642,296.24,82,100,0.6,GA,1690225344
262,oamaru,-45.0784,170.9801,279.85,83,100,1.39,NZ,1690225514
263,verkhnevilyuysk,63.4453,120.3167,290.0,94,75,2.72,RU,1690225514
264,muslyumovo,55.3033,53.1947,288.0,90,1,1.13,RU,1690225515
265,council bluffs,41.2619,-95.8608,305.66,59,0,5.66,US,1690225294
266,bandon,51.7469,-8.7425,289.92,75,100,5.15,IE,1690225515
267,khovd,48.0056,91.6419,290.2,46,7,0.03,MN,1690225516
268,cidreira,-30.1811,-50.2056,290.39,95,100,4.43,BR,1690225127
269,revda,56.801,59.9303,285.99,95,33,1.86,RU,1690225516
270,dryden,49.7833,-92.7503,296.31,46,40,3.6,CA,1690225046
271,dembi dolo,8.5333,34.8,287.85,94,100,1.38,ET,1690225517
272,ciudad rodrigo,40.6,-6.5333,295.8,34,0,4.94,ES,1690225517
273,leua,48.2156,18.6071,301.76,54,100,5.42,SK,1690225517
274,borogontsy,62.6683,131.1683,291.65,79,18,2.17,RU,1690225518
